14.86	999.1	5.03	5.02	5.03	5.02	5.03	11.05	11.22	11.07	11.01	10.94
14.9	999.1	6.46	6.49	6.48	6.47	6.5	14.16	14.19	14.12	14.26	14.13
14.92	999.1	8.17	8.1	8.12	8.14	8.17	17.86	17.97	17.99	17.97	17.8
14.96	999.1	9.97	9.98	9.97	9.98	9.95	22.06	21.99	22.13	22.07	22.08
15	999.1	12.11	12.13	12.14	12.15	12.1	26.67	26.69	26.59	26.51	26.62
15.07	999.1	14.24	14.16	14.2	14.23	14.21	31.39	31.37	31.44	31.42	31.32
15.13	999.1	16.53	16.55	16.54	16.56	16.53	36.39	36.44	36.5	36.46	36.5
15.23	999.1	19.07	19.06	19.12	19.14	19.15	42.14	42.2	42.12	42.1	42.07
