8.3	24944	16873	15416	12836	12611	11121	10463	11199	9829	11433
8.4	24953	16891	15384	12843	12612	11072	10423	11207	9822	11441
8.5	24946	16876	15344	12854	12599	11109	10424	11196	9853	11412
8.6	24958	16892	15411	12860	12604	11081	10422	11202	9788	11449
8.7	24949	16864	15442	12844	12600	11069	10464	11202	9824	11435
8.8	24941	16876	15410	12836	12597	11064	10464	11199	9820	11446
8.9	24969	16850	15329	12831	12604	11099	10424	11198	9828	11439
9	24933	16875	15364	12829	12594	11072	10445	11192	9834	11467
9.1	24958	16857	15398	12838	12606	11109	10401	11192	9829	11434
9.2	24957	16856	15417	12835	12592	11118	10393	11199	9799	11453
9.3	24936	16875	15398	12838	12592	11083	10464	11205	9821	11450
9.4	24936	16857	15331	12839	12588	11073	10418	11191	9813	11456
9.5	24919	16882	15387	12832	12590	11101	10458	11180	9783	11434
9.6	24951	16867	15417	12831	12600	11065	10417	11187	9827	11453
9.7	24923	16877	15340	12837	12587	11078	10400	11192	9796	11437
9.8	24910	16880	15314	12840	12582	11122	10392	11190	9803	11450
9.9	24941	16877	15377	12824	12583	11135	10412	11187	9818	11433
10	24931	16878	15373	12822	12585	11089	10418	11175	9790	11446
10.1	24960	16875	15359	12811	12593	11110	10406	11171	9818	11433
10.2	24960	16873	15323	12819	12588	11101	10463	11183	9811	11458
10.3	24925	16868	15350	12818	12586	11053	10393	11179	9792	11451
10.4	24949	16881	15417	12803	12597	11087	10397	11195	9783	11440
10.5	24947	16854	15323	12799	12598	11125	10381	11180	9820	11448
10.6	24928	16883	15314	12796	12604	11099	10452	11172	9778	11456
10.7	24948	16867	15382	12800	12606	11117	10462	11194	9796	11444
10.8	24929	16870	15393	12799	12601	11142	10486	11198	9806	11460
10.9	24884	16859	15312	12798	12597	11110	10468	11202	9807	11438
11	24900	16876	15347	12810	12595	11094	10463	11200	9813	11467
11.1	24899	16855	15406	12810	12602	11111	10406	11193	9800	11443
11.2	24927	16858	15362	12802	12596	11124	10396	11209	9787	11468
11.3	24913	16863	15345	12807	12607	11092	10497	11206	9808	11452
11.4	24911	16851	15381	12797	12611	11151	10419	11217	9793	11461
11.5	24906	16862	15411	12810	12602	11131	10456	11195	9769	11469
11.6	24873	16846	15322	12821	12591	11116	10437	11188	9822	11465
11.7	24910	16879	15380	12837	12606	11120	10372	11187	9803	11466
11.8	24899	16861	15434	12822	12596	11137	10441	11189	9791	11472
11.9	24899	16871	15362	12821	12613	11097	10391	11192	9805	11446
12	24891	16837	15353	12824	12610	11138	10454	11173	9791	11447
12.1	24872	16874	15410	12827	12603	11148	10456	11151	9809	11464
12.2	24911	16843	15399	12829	12623	11152	10452	11165	9802	11446
12.3	24921	16843	15324	12828	12616	11119	10411	11153	9788	11459
12.4	24898	16855	15419	12836	12624	11157	10418	11161	9780	11444
12.5	24903	16857	15387	12819	12611	11100	10381	11160	9813	11455
12.6	24885	16877	15351	12814	12609	11100	10416	11164	9780	11446
12.7	24914	16855	15365	12815	12587	11117	10441	11169	9791	11459
12.8	24935	16863	15398	12819	12597	11140	10401	11173	9793	11448
